type,party,limits,condition_id,market_name,yes_token_id,no_token_id
top5,VVD,0,0xfe924cf338f90e1d90c8ddf3bb10f2ad46e19daf886009b25712ce26cff4468f,Will VVD win the fewest seats in the next Netherlands General Election?,38609801305902708454568514007671682500605622354478285843433589620536175715579,62063551040639721195726546543583046662473926681917623756568902955314000248481
top5,CDA,0,0xf5a8970d57d7fbfd8dc6c98cc198f8c67a54ada2eebd9e7910c7bb9763815c6d,Will CDA win the fewest seats in the next Netherlands General Election?,90665841533755452283752530077989294636156147572638974717952179990452323953084,93119018779018990004549130368982691052114753376972582090659587590927034722279
top5,PVV,0,0x82b2852e240d6dbbb2f6a480bbf5a3d2f7cbe316f21863b5b05d21b00c823ef3,Will PVV win the fewest seats in the next Netherlands General Election?,78544119136400870704673524133489455322717000819644874952282221957207813486744,35070367532597346176303839637862737700937415605682007427264733349996434248974
top5,GL-PvdA,0,0xcb281d0fd238912e5c02289a3db7e3731375fc433f11963dbb0ccba3d3b7e015,Will GL/PvdA win the fewest seats in the next Netherlands General Election?,29156066943028828037828868551132852508524202693035717796001381103549403234196,28274777812969927165995151144012978154534297122140920332510852155412664749709
top5,D66,0,0xd990ff3f5cef77379d72def85b8273b2e28a5fa60e42d66efc1044085d2c9875,Will D66 win the fewest seats in the next Netherlands General Election?,103063695887401728883527767409083715404320500686500641005780974727072564181780,76559134772368522821693086692949396057417239701397261372187862855728468577533
seats,PVV,0-26,0xd048e23de007e5ad73d6b5f47522e771b48d93ad9d2b755d107a474e57892e9f,Will PVV win 26 or fewer seats in the 2025 Netherlands parliamentary election?,2209781356101116566366301515992830779618290506761248114343915766558034093443,71763437588414248226542848076330468314598420194544408698883411600308847690428
seats,PVV,27-29,0xfa88f331c9db14586cb2201439c6aed2ee2bfeed506c2b2b4a43db79f059caff,Will PVV win 27–29 seats in the 2025 Netherlands parliamentary election?,103238107673759385839823087665047588051022362618230079006652836630584361457161,73373385379298660644661076541959832063214045597613074123989581507831212730387
seats,PVV,30-32,0x84cc8763a6b3d8cf93d8fcd615539cc49edb6732d8569331434a5b6cc8096599,Will PVV win 30–32 seats in the 2025 Netherlands parliamentary election?,8216071329302477479596693711767657824565142657762973593812245507711424203999,18606823865575901925152222509825130822618823827422329220641814620663235579649
seats,PVV,33-150,0x2d09ae9b528352527f0b082fd41200659f405982d4bbd99e77f9bab666619155,Will PVV win 33 or more seats in the 2025 Netherlands parliamentary election?,3983075100288845320395615089677465956244872675864021948016247414814312559152,38173579362706487397171606776675757021511542647188962824496559548322829202341
seats,GL-PvdA,0-22,0xd52c5be6a9562e7e0b2606b292d5edc3cb530780201d93d8976799d5be1bd390,Will GroenLinks–PvdA win 22 or fewer seats in the 2025 Netherlands parliamentary election?,69508039642667356143137198744812528120535922430110162018133774155937606892507,11822151385807666727689422184078196232188526167848736377632599426871072314343
seats,GL-PvdA,23-25,0x29be5e3386ffe130a7759647b3b863d8ae5fdffc37c768a825d54431fe2b8a41,Will GroenLinks–PvdA win 23–25 seats in the 2025 Netherlands parliamentary election?,45579031101605138560837766473094740894513317245118224641252029958876967390190,68247951315078754657975765512966851054342551583479960505793153334555813723275
seats,GL-PvdA,26-28,0x1970582876bd1ec31a3b9ed53b310d4aa19f036f4a6f4d94c72a2aae8851945f,Will GroenLinks–PvdA win 26–28 seats in the 2025 Netherlands parliamentary election?,76333619751006036959961424633088189477639027233569668393502503962299673355946,81665460128294521620190844621085137947924547805949220189962675372101810895698
seats,GL-PvdA,29-150,0x3f24b4802bac08dcd85567198b079804e2fe914d7391e78fa55bb96d06abc3b8,Will GroenLinks–PvdA win 29 or more seats in the 2025 Netherlands parliamentary election?,114175324023838197362626277403975293974265159135814858953580411031698820868689,71164088189414556027312697243033008244536586551119501652223668047558196480163
seats,CDA,0-21,0x59ab85c73b5a2b84ee3414fbff52300988abd79389b58f5de71b9fc5af03cc39,Will CDA win 21 or fewer seats in the 2025 Netherlands parliamentary election?,55270912806282332799899506503556607123335351820398097041529559826959872172389,84734908134241361467681298295892609622389668952682783652832077301642862342964
seats,CDA,22-24,0xfc5cda4f957d57cd8620039d00cd89a3b10b9bd346e605f6f76c59b41e73644a,Will CDA win 22–24 seats in the 2025 Netherlands parliamentary election?,109268233622143526571007140369654947748725235058714662833765217437349329332749,41037546654515727353996338752085032088821240932488601149515309973807319437404
seats,CDA,25-27,0x565910ca1cf46461f9e24acfafcd1d711380289efb2bbd4fc9d5728de8ecd744,Will CDA win 25–27 seats in the 2025 Netherlands parliamentary election?,90491505590779003384918809439826459748688227566790915864462635707543680910799,73690381474159111541785696833769925971308518790811720647076245762597952264616
seats,CDA,28-150,0xd2bb0e0241a9cd7f7277eaa2a0e36e2ed4f842e67671b889fc724d829cd801f7,Will CDA win 28 or more seats in the 2025 Netherlands parliamentary election?,20879770869040035071879697465268450289158331809480249481158708155300007816604,17148622357578278848833910848944406884577000967140916585746659064161763102271
percent,D66,10-100,0x1a7d40a55ae60c5dd65ed758dcb503074916132eba2f93a701d25ab999a7a370,Democrats 66 (D66) win 10% or more of votes in Netherlands election?,29588216507131927967811529093785578338038226204194227956888362112827164829353,59509621793004941913108907899736520337067877103203001076901109802939925640491
duels,GL-PvdA|CDA,0,0x83fa0ff0655aa716cee2d86ad61f7d6efdb713038fd3f31e0c5da152bb8cfa27,Netherlands Parliamentary Election: GL-PvdA vs CDA,35292117852767052376737455930266761909756445992720934161035362092762182312222,82328809184137995210923141031577495906863394098377486581761202835093349061135
